Balmoral Close,,RP,STJ_E6,2021
Beacon Park,,RN2,LEO_N3,2021
Beatrice Court,,RN2,LEO_N3,2021
Clayton Drive,,RX,STW_N4,2021
Davidson Road,,RP,STJ_E1,2021
Godfrey Rise,,RX,STW_N4,2021
Grosvenor Close,,RP,STJ_E6,2021
John Wilks Court,,RP,STJ_E1,2021
Miller Close,,RJ,CUR_S1,2021
Netherstowe,,RT,STW_N2,2021
The Paddock,,RQ,STJ_C5,2021
The Sycamores,,RQ,STJ_C5,2021
Pennys Croft,,RX,STW_E3,2020
Station Road,,RS,STW_S1,2020
